dt,timestamp,open,high,low,close,volumeBTC,volumeUSD,weightedPrice
2011-05-05,1304553600,3.4013,3.4498,3.333,3.333,15350.341,52331.39303194,3.409135538549
2011-05-06,1304640000,3.333,3.61001,3.29,3.45,23014.698,80063.98069794,3.478819522113
2011-05-07,1304726400,3.45,3.7,3.425,3.641,17833.289,64359.67749143,3.608962849838
2011-05-08,1304812800,3.641,3.937,3.63,3.8659,21132.514,79620.80698142,3.767692144031
2011-05-09,1304899200,3.8696,3.9,3.6905,3.8,11520.926,43805.91812508,3.802291423891
2011-05-10,1304985600,3.81,5.99001,3.81,5.81,56217.324,266466.70594218,4.739939345782
2011-05-11,1305072000,5.7499,6.065,4.6,5.5,52569.146,281496.85721703,5.354792280952
2011-05-12,1305158400,5.4898,6.49,5.22,6.30019,31722.464,184839.99045593,5.826785411623
2011-05-13,1305244800,6.3201,8.45,6.3201,8.198,64003.373,478840.49158364,7.481488383177
2011-05-14,1305331200,8.12011,8.9,5.83,7.19769,55390.451,435571.01773057,7.863648153552
2011-05-15,1305417600,7.0022,7.78,6.20001,6.98701,18294.87,123255.50104911,6.737161895608
2011-05-16,1305504000,6.9899,8.5,6.75,8.03388,44141.405,343050.47371671,7.771625613564
2011-05-17,1305590400,7.8974,8.38901,6.97991,7.19,35345.455,265868.94554701,7.522012251561
2011-05-18,1305676800,7.1911,7.5,6.6,6.88,25403.435,181331.1647892,7.138056911957
2011-05-19,1305763200,6.7002,7.34,6.60711,6.805,24436.409,170134.79940416,6.962348657864
2011-05-20,1305849600,6.8051,7.1,5.5772,5.59039,44460.435,278992.33745624,6.275069901053
2011-05-21,1305936000,5.7999,6.5199,5.5772,6.11971,31111.902,185640.17008586,5.966853781098
2011-05-22,1306022400,6.14,6.7594,5.99001,6.6901,23872.154,154432.51590668,6.46914877923
2011-05-23,1306108800,6.6901,7.45,6.68999,7.14991,35279.88,250601.29717819,7.103235531929
2011-05-24,1306195200,7.1499,7.51,6.96,7.42,29282.479,211827.28183543,7.233925851545
2011-05-25,1306281600,7.4899,9.33,7.21612,8.3997,64049.942,510905.17773898,7.976668858482
2011-05-26,1306368000,8.2502,8.9869,8.01,8.798,28644.99,244820.48195604,8.546712076214
2011-05-27,1306454400,8.7002,8.83,8.5002,8.5002,14431.838,125149.04638679,8.671733038217
2011-05-28,1306540800,8.55,8.7,8.11,8.3001,12247.722,103463.69444804,8.447586779651
2011-05-29,1306627200,8.3001,8.49,8.102,8.4299,7487.54,62138.87448834,8.298970621638
2011-05-30,1306713600,8.4483,9.0,8.25001,8.8,17680.151,154258.84526411,8.724973291467
2011-05-31,1306800000,8.8,9.4998,8.1,8.741,45794.425,406882.26759379,8.884973828011
2011-06-01,1306886400,8.741,9.6987,8.3,9.57,43479.96,400564.34749926,9.212619963295
2011-06-02,1306972800,9.6,10.888,9.5,10.6,41047.265,415112.71732064,10.113042058238
2011-06-03,1307059200,10.6002,14.499,10.5752,14.29,72980.242,954513.5370521,13.079067853079
2011-06-04,1307145600,14.27,18.89,14.04,18.89,44475.343,729670.8482534,16.406188216545
2011-06-05,1307232000,18.966,18.998,16.2,16.7,24278.972,420612.4673068,17.324146479793
2011-06-06,1307318400,16.7,19.23,16.4513,18.5499,55092.474,1016927.3940319,18.458553776908
2011-06-07,1307404800,18.2605,24.32,18.26,23.9234,53715.037,1068903.3224625,19.899517568284
2011-06-08,1307491200,23.9999,31.9099,22.2135,29.6,104925.157,2858820.3833788,27.24628168418
2011-06-09,1307577600,29.91,31.5,26.151,28.919,62933.66,1861589.6426567,29.580190356904
2011-06-10,1307664000,28.9191,29.399,20.01,23.9497,92208.2,2274786.4045597,24.670109649247
2011-06-11,1307750400,23.93,23.99,13.0,14.6511,121869.972,2146587.9608155,17.613756084358
2011-06-12,1307836800,14.75,24.99,10.25,18.5464,151194.158,2451134.5644444,16.211833822603
2011-06-13,1307923200,18.5479,24.5,16.0,19.84,73421.791,1476239.5920137,20.106286865349
2011-06-14,1308009600,19.8,20.5,18.001,19.28,36155.99,696003.9845202,19.250032553947
2011-06-15,1308096000,19.2804,20.0,19.022,19.49,27711.898,545336.1446287,19.67877280108
2011-06-16,1308182400,19.5,19.89,17.0,17.0,49202.135,927743.4210058,18.855755365205
2011-06-17,1308268800,17.0,18.34,13.0,15.681,108623.773,1684353.2260899,15.506303818869
2011-06-18,1308355200,15.9635,16.9499,15.052,16.89,35536.552,569949.3444784,16.038397435925
2011-06-19,1308441600,16.85,18.8766,16.85,17.51,30176.739,536267.3792375,17.770885689057
2011-06-20,1308528000,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2011-06-21,1308614400,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2011-06-22,1308700800,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2011-06-23,1308787200,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2011-06-24,1308873600,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2011-06-25,1308960000,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2011-06-26,1309046400,17.51001,17.51001,14.01,16.45001,15053.92692713,234621.79732253373,15.585421561978
2011-06-27,1309132800,16.45001,18.0,15.0,16.75004,31452.54447941,535096.3701009306,17.012816576771
2011-06-28,1309219200,16.75,17.52,16.5,16.9498,24398.1463737,413032.22133905644,16.928836109627
2011-06-29,1309305600,16.94991,17.2,16.666,16.845,21043.3694136,355303.1763861778,16.884329187157
2011-06-30,1309392000,16.846,17.0,15.73,16.10098,34961.1896034,577145.5490873862,16.508178229475
2011-07-01,1309478400,16.10098,16.74,15.26,15.397,33284.45294249,529197.490980931,15.899239560743
2011-07-02,1309564800,15.3705,15.8,15.271,15.4,19453.23750588,302134.70414259174,15.53133271782
2011-07-03,1309651200,15.39981,15.689,15.311,15.44049,16792.28530273,259875.50539743592,15.475886736821
2011-07-04,1309737600,15.4407,15.48988,13.14,13.86,52276.98903608,756913.5897170275,14.478905607869
2011-07-05,1309824000,13.878,15.0,11.0,12.90691,84081.15245614,1076305.4614472187,12.800793400265
2011-07-06,1309910400,12.90701,16.5,12.67132,14.78347,111818.32278654,1655319.6326528543,14.803652848673
2011-07-07,1309996800,14.78367,15.9,14.5,14.77609,54465.69644076,825452.2493205155,15.155452023244
2011-07-08,1310083200,14.77609,15.64276,13.90152,14.31399,34853.41816622,500143.375349761,14.349908894574
2011-07-09,1310169600,14.31399,14.6999,14.0201,14.38,11909.16985706,171329.27147134687,14.386332005314
2011-07-10,1310256000,14.375,15.68,14.35,14.9,45284.42393756,682903.1614184763,15.080310226759
2011-07-11,1310342400,14.9,15.1999,13.8,14.20912,49160.01060266,706457.5167411233,14.370572912425
2011-07-12,1310428800,14.20912,14.63988,13.9,14.00943,26356.50591301,372986.5543724065,14.151593371422
2011-07-13,1310515200,14.0276,14.15,13.91,13.95099,10338.14554788,145032.06834517184,14.028828252946
2011-07-14,1310601600,13.97,14.07,13.7,13.99,17661.15566677,245982.11316054445,13.927860543315
2011-07-15,1310688000,13.99999,14.09,13.5021,13.81,24819.54208343,344982.0969900341,13.899615707268
2011-07-16,1310774400,13.81,13.81,13.501,13.7191,17264.49479167,235142.96816789714,13.620031805469
2011-07-17,1310860800,13.719,13.75,13.021,13.16,34375.47258845,458510.18560545275,13.338294751459
2011-07-18,1310947200,13.16,13.915,12.51,13.48,75896.30773935,988903.2412254806,13.029662057101
2011-07-19,1311033600,13.47051,14.7,13.44,13.85024,67575.61324902,948485.7158974706,14.0359172532
2011-07-20,1311120000,13.86024,14.0,13.4,13.68943,23177.89842929,317332.2981670564,13.691159236682
2011-07-21,1311206400,13.71982,13.78,13.4,13.61,25018.37149466,341665.5168219837,13.656584997745
2011-07-22,1311292800,13.61,13.81,13.45,13.69542,15165.61506635,207044.1518140982,13.652209350447
2011-07-23,1311379200,13.69999,13.7649,13.51,13.68,22455.59780553,306380.1584263677,13.643821067677
2011-07-24,1311465600,13.6904,14.1,13.6,13.98001,26623.25582661,369041.82092423254,13.861633728335
2011-07-25,1311552000,13.98001,14.72299,13.76,14.0478,31577.95972877,448277.1995044017,14.195888631018
2011-07-26,1311638400,14.02979,14.05051,13.768,13.88214,16793.85559615,233585.08385967463,13.908961079386
2011-07-27,1311724800,13.88214,14.13,13.85,13.9394,11508.6635387,160645.53647577777,13.958661310723
2011-07-28,1311811200,13.891,13.939,13.312,13.49011,32738.27075718,445690.5798412804,13.613748360351
2011-07-29,1311897600,13.4901,13.7,13.3302,13.49832,7257.50747383,98020.72984435422,13.506114902094
2011-07-30,1311984000,13.5015,13.63,13.45,13.53034,6104.38329931,82590.44368746941,13.529694915587
2011-07-31,1312070400,13.5365,14.8999,12.82922,13.35,45723.43823788,618135.5013216301,13.519007431281
2011-08-01,1312156800,13.3503,13.5501,12.85,13.0946,21748.08591421,286373.01961924107,13.167734427246
2011-08-02,1312243200,13.09628,13.1,11.5,12.05,57242.68767529,709463.1558131664,12.393952566267
2011-08-03,1312329600,12.05,12.16,8.7,9.26,90287.3312127,943628.171611791,10.45139067616
2011-08-04,1312416000,9.287,11.15,9.26999,10.75,50094.10311742,529876.3539172144,10.57761933925
2011-08-05,1312502400,10.7106,10.99,9.5,9.7999,30765.68959081,315866.9307075266,10.266856843081
2011-08-06,1312588800,9.7403,9.95,5.742,6.55,102411.72730006,801213.0773270156,7.823450482185
2011-08-07,1312675200,6.5317,9.47,6.01,7.9,89830.95784584,693796.9767322282,7.723361671406
2011-08-08,1312761600,7.9,8.15998,7.055,7.79991,34042.22082521,263570.18529202044,7.742449784499
2011-08-09,1312848000,7.79996,12.1,7.671,9.99,114472.77523409,1112123.770504421,9.715181345348
2011-08-10,1312934400,9.95017,10.40001,9.5,9.98,24254.45049218,242598.48290349473,10.002225487719
2011-08-11,1313020800,10.08821,10.4959,8.45099,9.46248,58114.56411895,550577.8842570002,9.474008668981
2011-08-12,1313107200,9.46268,9.8,8.91,9.46051,41592.12006299,387476.1775228724,9.31609585989
2011-08-13,1313193600,9.47024,10.25041,9.28,10.131,29759.75833561,291543.0832660384,9.796554124473
2011-08-14,1313280000,10.1302,11.24,9.62,10.7957,44125.49991015,468353.912469601,10.61413272197
2011-08-15,1313366400,10.7921,11.89,10.72151,11.14979,38155.5426874,431203.7399348027,11.30120841073
2011-08-16,1313452800,11.1548,11.32,10.8109,10.96409,15325.43631322,169357.8870641249,11.05077099293
2011-08-17,1313539200,10.92339,11.1,10.661,10.94555,22898.68983246,249104.6757080597,10.878555827021
2011-08-18,1313625600,10.97792,11.04999,10.81,10.83001,8210.37770942,89515.27598260262,10.902698895314
2011-08-19,1313712000,10.83001,11.81,10.83001,11.65,33721.04965496,384289.8743566363,11.396142121576
2011-08-20,1313798400,11.65638,11.69001,11.4,11.453,9915.00203042,113880.29253891046,11.485654989229
2011-08-21,1313884800,11.453,11.51,11.31,11.31125,8720.34956776,99220.97549190787,11.378096109672
2011-08-22,1313971200,11.31125,11.501,10.51,10.895,36996.14352761,407895.1287307601,11.025341828571
2011-08-23,1314057600,10.909,11.3,10.809,10.94001,12779.50876967,141019.10946990034,11.034783262138
2011-08-24,1314144000,10.94001,11.083,10.8309,10.8506,7815.83320439,85516.16641079602,10.94140115001
2011-08-25,1314230400,10.8506,10.891,9.1,9.65702,55485.39230424,555232.0419075891,10.006814746179
2011-08-26,1314316800,9.65702,9.889,7.642,8.17939,83004.36526692,718309.6253164328,8.653877696752
2011-08-27,1314403200,8.17939,9.11,8.12082,8.5902,21998.79373208,189777.37354878295,8.62671725823
2011-08-28,1314489600,8.5911,9.4811,8.44758,9.07011,24155.28176322,216706.80186976626,8.971404432124
2011-08-29,1314576000,9.07021,9.27027,8.65,8.969,21651.28245057,193411.57391872606,8.933030842874
2011-08-30,1314662400,8.969,9.0,8.55,8.79134,11773.82396374,103338.65193259464,8.776982928473
2011-08-31,1314748800,8.79,8.79,8.01001,8.19951,19648.24096638,164091.75480801903,8.351473044778
2011-09-01,1314835200,8.19951,8.35994,8.1,8.21,11903.52969436,97874.32622477022,8.222294457008
2011-09-02,1314921600,8.25,8.7138,8.23,8.64,16814.5489286,141975.27514384585,8.443597015104
2011-09-03,1315008000,8.6,8.69,8.36307,8.48,6944.98677552,59247.46560643608,8.53096881556
2011-09-04,1315094400,8.4632,8.49,7.85,8.17798,19673.48579811,160817.86377498883,8.174345178343
2011-09-05,1315180800,8.12796,8.19142,7.25,7.61101,30798.75433393,234672.80447661623,7.619555061618
2011-09-06,1315267200,7.61101,7.65713,6.122,6.8628,82496.04657068,555289.162528578,6.731100284337
2011-09-07,1315353600,6.8628,7.59916,6.53001,7.1864,49642.1025069,348836.4401763667,7.027027917036
2011-09-08,1315440000,7.19786,7.19786,6.51235,6.53,31886.33156535,216888.78812044975,6.801936048239
2011-09-09,1315526400,6.5299,6.57686,4.18,5.03,217433.29036018,1154613.9905181935,5.310198767657
2011-09-10,1315612800,5.019,5.49,4.63,4.7739,44484.52700573,223562.81323746627,5.025630894281
2011-09-11,1315699200,4.7739,7.4,4.6,5.86435,143792.5793223,873010.6375599033,6.07131912978
2011-09-12,1315785600,5.94,6.58212,5.4121,6.078,63864.03783182,385739.5470614813,6.040011877691
2011-09-13,1315872000,6.05,6.085,5.7,5.8,23759.2767603,138683.87146266853,5.837040952964
2011-09-14,1315958400,5.8199,5.84731,5.32488,5.61932,43768.26143524,243197.97282665755,5.556491504386
2011-09-15,1316044800,5.61932,5.61932,4.44,4.84,86220.92069223,429502.8268929799,4.981422414011
2011-09-16,1316131200,4.84,4.99,4.61,4.82,31651.08778823,152408.8685623088,4.815280586312
2011-09-17,1316217600,4.82,4.93,4.7,4.77,20303.07918957,97582.47381776864,4.806289376436
2011-09-18,1316304000,4.7604,5.6,4.72134,5.2,44623.90130131,229468.5426429721,5.142278822588
2011-09-19,1316390400,5.2021,5.64399,4.9,5.46001,49836.79334533,263597.81048023154,5.289220930683
2011-09-20,1316476800,5.46203,6.795,5.4511,6.11191,116750.9839094,713430.507152108,6.110702310704
2011-09-21,1316563200,6.11191,6.28664,5.06,5.6114,68164.47320197,383918.84634161356,5.632242549635
2011-09-22,1316649600,5.64335,5.83001,5.29,5.42781,31651.00179563,175258.5845301649,5.537220769877
2011-09-23,1316736000,5.43,5.70653,5.4145,5.54514,55667.98378796,312415.0894284404,5.612114328021
2011-09-24,1316822400,5.54514,5.641,5.3201,5.46829,17944.2335052,97847.52843172452,5.452867541172
2011-09-25,1316908800,5.44406,5.49,5.32199,5.33,9487.26362478,51288.088216105905,5.405993787518
2011-09-26,1316995200,5.32999,5.4,4.721,4.86969,56072.39106435,277987.40788486495,4.957652110213
2011-09-27,1317081600,4.86969,5.13018,4.781,4.9156,24645.36640217,121363.65900113601,4.924400677218
2011-09-28,1317168000,4.91563,4.969,4.625,4.77247,30625.20664532,146110.79442274387,4.770932523489
2011-09-29,1317254400,4.77985,4.8,4.6742,4.77935,14092.8851612,66817.42683809767,4.741217009421
2011-09-30,1317340800,4.7567,5.35,4.743,5.14009,41459.06945508,208038.7868006194,5.01793189126
2011-10-01,1317427200,5.16699,5.24919,4.86125,5.03241,23460.74019219,118531.63057412895,5.052339764352
2011-10-02,1317513600,5.03241,5.1,4.91,5.02701,10457.31027153,52128.12689015655,4.984850361768
2011-10-03,1317600000,5.02701,5.0399,4.88889,5.02401,17289.250361,85880.89347723004,4.967300009198
2011-10-04,1317686400,5.02401,5.025,4.9193,4.96,15793.44483585,78377.7790420915,4.962677861399
2011-10-05,1317772800,4.96,5.025,4.8312,4.87,17586.46309821,86107.56025271995,4.896240919613
2011-10-06,1317859200,4.87002,4.9,4.4989,4.73443,54773.49257253,256723.5701494529,4.687003842406
2011-10-07,1317945600,4.74688,4.7958,3.7819,4.2728,97547.35268216,418394.5039293315,4.289142579733
2011-10-08,1318032000,4.30281,4.3399,3.825,4.00753,39611.94309171,159656.31009353104,4.030509428025
2011-10-09,1318118400,4.00757,4.389,4.00757,4.10288,37920.06224686,158762.14869630456,4.186758651997
2011-10-10,1318204800,4.1,4.2,4.0104,4.1,16858.24419247,69188.53486009347,4.104136472943
2011-10-11,1318291200,4.06084,4.10001,3.84962,3.9308,41104.07716903,162268.54085219072,3.947748058785
2011-10-12,1318377600,3.92982,4.45,3.901,4.15,69399.52738799,282490.4119901983,4.070494751512
2011-10-13,1318464000,4.16,4.2,4.002,4.04615,19706.16675451,80377.2961417293,4.078788997527
2011-10-14,1318550400,4.05644,4.11455,3.9481,3.98791,20054.55190042,80464.14112070201,4.012263226835
2011-10-15,1318636800,3.9873,4.05,3.70888,3.84214,42092.41535423,163851.3242900782,3.892656739015
2011-10-16,1318723200,3.84214,3.8975,3.4,3.55701,36200.88480338,131714.0275508471,3.638420117802
